OTU_97.14982	3	1	0	1	0	0	1	0	10	0	0	6	0	5	0	0	2	1	7	16	5	0	3	0	4	1	0	0	0	0	13	0	8	3	2	0	0	0	3	0	6	0	1	0	0	0	0	13	1	0	2	0	0	0	0	0	0	0	0	0
OTU_97.153	0	3	1	0	1	0	4	2	19	2	0	5	0	13	0	0	1	2	0	23	11	3	2	2	1	3	1	2	0	0	0	3	5	2	1	0	0	2	2	0	4	0	1	0	0	8	0	2	0	0	1	3	0	1	0	0	0	0	0	0
OTU_97.15438	0	5	19	0	2	6	0	5	1	4	4	0	2	4	0	0	0	0	8	3	0	3	0	0	0	7	3	4	5	0	0	0	0	3	1	2	0	3	4	1	0	2	2	2	0	2	2	0	1	0	0	6	0	3	5	0	0	0	0	0
OTU_97.15508	18	7	0	0	16	1	0	0	1	1	2	2	12	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	1	24	0	0	0	1	0	0	2	0	0	0	0	4	0	2	0	4	0	0	0	0	0	0	53	0	0	10	0	0
OTU_97.15634	2	20	1	2	16	3	22	4	7	8	1	10	0	43	0	2	1	1	1	10	5	12	32	15	0	25	5	12	2	4	22	2	4	0	12	2	0	6	15	9	0	0	8	9	0	1	7	2	3	0	0	5	0	12	2	0	1	4	0	0
OTU_97.15796	5	1	3	0	1	6	4	1	30	0	0	10	2	30	0	1	0	0	2	7	7	3	3	1	2	2	1	9	4	1	0	3	0	2	1	1	0	1	0	0	5	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	4	0	0
OTU_97.1580	0	0	0	3	1	0	4	0	16	0	0	2	24	2	0	0	0	0	15	11	3	2	2	0	4	0	1	0	4	0	15	0	4	0	0	0	0	2	0	0	0	0	1	0	0	1	0	9	0	0	5	0	0	0	0	0	0	1	0	0
OTU_97.15809	0	2	0	0	5	1	0	0	3	1	2	2	1	0	0	0	0	0	0	0	1	3	4	0	0	7	4	21	0	6	0	0	2	0	4	3	1	1	10	4	0	0	6	2	0	0	0	1	2	0	0	2	1	0	3	0	0	6	0	0
OTU_97.16	0	2	2	7	2	0	0	0	85	0	1	1	0	2	0	0	0	8	0	1	6	0	9	1	2	1	3	0	0	0	0	1	17	4	2	0	2	0	0	0	0	0	0	0	1	16	0	7	0	4	0	0	0	2	0	0	4	2	1	1
OTU_97.16340	332	0	131	0	0	7	1	10	3	35	52	0	5	179	9	0	2	1	119	11	23	18	1	29	0	12	1	0	3	0	1	0	0	36	13	0	0	48	15	0	1	0	1	4	0	0	6	29	0	0	0	4	0	0	0	0	0	1	0	0
OTU_97.16860	2	0	34	3	0	4	0	72	0	5	1	0	1	11	2	0	3	1	14	4	1	5	25	0	0	0	0	0	1	2	1	0	2	0	7	0	0	0	1	3	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.16989	0	91	1	3	11	17	1	15	3	5	0	13	0	14	0	3	0	0	1	6	1	7	52	15	0	40	11	13	0	3	0	18	0	0	151	1	1	40	6	8	1	0	23	8	1	2	9	0	1	3	0	6	0	0	4	1	0	12	0	0
